"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06075","0","SIC_0Z","26","0",1975,"A","","San Francisco County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",19526,441614,5423094370,0,0,236,12280
"06075","1","SIC_0Z","27","0",1975,"A","","San Francisco County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",77,33992,466976659,0,0,264,13737
"06075","1","SIC_0A","28","0",1975,"A","","San Francisco County, California","Federal Government","Agriculture, Forestry, and Fishing Division","County, Industry Division -- by ownership sector","All establishment sizes",1,2,12895,0,0,123,6447
"06075","1","SIC_0A07","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 07 Agricultural Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,2,12895,0,0,123,6447
"06075","1","SIC_0D","28","0",1975,"A","","San Francisco County, California","Federal Government","Manufacturing Division","County, Industry Division -- by ownership sector","All establishment sizes",1,100,1495445,0,0,287,14954
"06075","1","SIC_0D27","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 27 Printing and Publishing","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,41,563923,0,0,264,13754
"06075","1","SIC_0D37","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 37 Transportation Equipment","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,59,931522,0,0,303,15788
"06075","1","SIC_0E","28","0",1975,"A","","San Francisco County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",3,7961,116215519,0,0,280,14598
"06075","1","SIC_0E43","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,7517,111612373,0,0,285,14847
"06075","1","SIC_0E48","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 48 Communication","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,444,4603146,0,0,199,10367
"06075","1","SIC_0G","28","0",1975,"A","","San Francisco County, California","Federal Government","Retail Trade Division","County, Industry Division -- by ownership sector","All establishment sizes",6,1471,10486655,0,0,137,7128
"06075","1","SIC_0G53","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 53 General Merchandise Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,973,8147911,0,0,161,8374
"06075","1","SIC_0G58","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 58 Eating and Drinking Places","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,498,2338744,0,0,90,4696
"06075","1","SIC_0H","28","0",1975,"A","","San Francisco County, California","Federal Government","Finance, Insurance, and Real Estate Division","County, Industry Division -- by ownership sector","All establishment sizes",3,148,2260831,0,0,293,15275
"06075","1","SIC_0H61","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 61 Nondepository Institutions","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,34,545335,0,0,308,16039
"06075","1","SIC_0H63","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 63 Insurance Carriers","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,106,1594195,0,0,289,15039
"06075","1","SIC_0H65","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 65 Real Estate","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,8,121301,0,0,291,15162
"06075","1","SIC_0I","28","0",1975,"A","","San Francisco County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",14,2978,35469062,0,0,229,11910
"06075","1","SIC_0I70","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 70 Hotels and Other Lodging Places","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,42,180342,0,0,82,4293
"06075","1","SIC_0I73","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 73 Business Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,2,43529,0,0,418,21764
"06075","1","SIC_0I78","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 78 Motion Pictures","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,16,121032,0,0,145,7564
"06075","1","SIC_0I79","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 79 Amusement and Recreation Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",5,847,7925925,0,0,179,9357
"06075","1","SIC_0I80","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 80 Health Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1380,18545873,0,0,258,13439
"06075","1","SIC_0I81","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 81 Legal Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,5,74415,0,0,286,14883
"06075","1","SIC_0I86","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 86 Membership Organizations","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,4,17312,0,0,83,4328
"06075","1","SIC_0I89","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,682,8560634,0,0,241,12552
"06075","1","SIC_0J","28","0",1975,"A","","San Francisco County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",49,21332,301036252,0,0,271,14111
"06075","1","SIC_0J91","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",11,3239,43384584,0,0,257,13394
"06075","1","SIC_0J92","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,815,17215825,0,0,406,21123
"06075","1","SIC_0J93","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,2889,47455228,0,0,315,16426
"06075","1","SIC_0J94","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",10,5297,64833746,0,0,235,12239
"06075","1","SIC_0J95","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,1441,23888742,0,0,318,16577
"06075","1","SIC_0J96","29","0",1975,"A","","San Francisco County, California","Federal Government","SIC 96 Administration of Economic Programs","County, 2-digit SIC -- by ownership sector","All establishment sizes",13,1806,30374042,0,0,323,16818
