"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06085","0","SIC_0Z","26","0",1981,"A","","Santa Clara County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",26511,694564,12958363612,0,0,358,18656
"06085","1","SIC_0Z","27","0",1981,"A","","Santa Clara County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",38,11145,264090538,0,0,455,23695
"06085","1","SIC_0E","28","0",1981,"A","","Santa Clara County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",1,3544,88902496,0,0,482,25085
"06085","1","SIC_0E43","29","0",1981,"A","","Santa Clara County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,3544,88902496,0,0,482,25085
"06085","1","SIC_0F","28","0",1981,"A","","Santa Clara County, California","Federal Government","Wholesale Trade Division","County, Industry Division -- by ownership sector","All establishment sizes",1,4,87803,0,0,422,21950
"06085","1","SIC_0F50","29","0",1981,"A","","Santa Clara County, California","Federal Government","SIC 50 Wholesale Trade Durable Goods","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,4,87803,0,0,422,21950
"06085","1","SIC_0G","28","0",1981,"A","","Santa Clara County, California","Federal Government","Retail Trade Division","County, Industry Division -- by ownership sector","All establishment sizes",5,575,5386723,0,0,180,9368
"06085","1","SIC_0G53","29","0",1981,"A","","Santa Clara County, California","Federal Government","SIC 53 General Merchandise Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,361,3709084,0,0,197,10274
"06085","1","SIC_0G58","29","0",1981,"A","","Santa Clara County, California","Federal Government","SIC 58 Eating and Drinking Places","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,196,1490710,0,0,146,7605
"06085","1","SIC_0G59","29","0",1981,"A","","Santa Clara County, California","Federal Government","SIC 59 Miscellaneous Retail","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,18,186929,0,0,199,10384
"06085","1","SIC_0H","28","0",1981,"A","","Santa Clara County, California","Federal Government","Finance, Insurance, and Real Estate Division","County, Industry Division -- by ownership sector","All establishment sizes",1,7,80509,0,0,221,11501
"06085","1","SIC_0H61","29","0",1981,"A","","Santa Clara County, California","Federal Government","SIC 61 Nondepository Institutions","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,7,80509,0,0,221,11501
"06085","1","SIC_0I","28","0",1981,"A","","Santa Clara County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",10,5450,133889121,0,0,472,24566
"06085","1","SIC_0I70","29","0",1981,"A","","Santa Clara County, California","Federal Government","SIC 70 Hotels and Other Lodging Places","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,5,30326,0,0,116,6065
