"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06001","0","SIC_0Z","26","0",1998,"A","","Alameda County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",43669,650419,25279659798,4075642651,119440397,747,38866
"06001","1","SIC_0Z","27","0",1998,"A","","Alameda County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",93,12733,580710037,0,0,877,45606
"06001","1","SIC_0E","28","0",1998,"A","","Alameda County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",19,6699,272004616,0,0,780,40603
"06001","1","SIC_0E43","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",18,6699,272004616,0,0,780,40603
"06001","1","SIC_0E431","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 431 U.S. Postal Service","County, 3-digit SIC -- by ownership sector","All establishment sizes",18,6699,272004616,0,0,780,40603
"06001","1","SIC_0E4311","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 4311 U.S. Postal Service","County, 4-digit SIC -- by ownership sector","All establishment sizes",18,6699,272004616,0,0,780,40603
"06001","1","SIC_0E49","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 49 Electric, Gas, And Sanitary Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0
"06001","1","SIC_0E491","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 491 Electric Services","County, 3-digit SIC -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0
"06001","1","SIC_0E4911","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 4911 Electric services","County, 4-digit SIC -- by ownership sector","All establishment sizes",1,0,0,0,0,0,0
"06001","1","SIC_0G","28","0",1998,"A","","Alameda County, California","Federal Government","Retail Trade Division","County, Industry Division -- by ownership sector","All establishment sizes",8,634,15709412,0,0,476,24778
"06001","1","SIC_0G53","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 53 General Merchandise Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,582,14548838,0,0,480,24998
"06001","1","SIC_0G539","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 539 Misc. General Merchandise Stores","County, 3-digit SIC -- by ownership sector","All establishment sizes",3,582,14548838,0,0,480,24998
"06001","1","SIC_0G5399","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 5399 Misc. general merchandise stores","County, 4-digit SIC -- by ownership sector","All establishment sizes",3,582,14548838,0,0,480,24998
"06001","1","SIC_0G54","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 54 Food Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,29,814994,0,0,540,28103
"06001","1","SIC_0G541","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 541 Grocery Stores","County, 3-digit SIC -- by ownership sector","All establishment sizes",2,29,814994,0,0,540,28103
"06001","1","SIC_0G5411","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 5411 Grocery stores","County, 4-digit SIC -- by ownership sector","All establishment sizes",2,29,814994,0,0,540,28103
"06001","1","SIC_0G58","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 58 Eating and Drinking Places","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,23,345580,0,0,288,15025
"06001","1","SIC_0G581","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 581 Eating and Drinking Places","County, 3-digit SIC -- by ownership sector","All establishment sizes",3,23,345580,0,0,288,15025
"06001","1","SIC_0G5810","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 5810 Eating and Drinking Places","County, 4-digit SIC -- by ownership sector","All establishment sizes",3,23,345580,0,0,288,15025
"06001","1","SIC_0H","28","0",1998,"A","","Alameda County, California","Federal Government","Finance, Insurance, and Real Estate Division","County, Industry Division -- by ownership sector","All establishment sizes",0,2,121085,0,0,1164,60542
"06001","1","SIC_0H61","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 61 Nondepository Institutions","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,2,121085,0,0,1164,60542
"06001","1","SIC_0H611","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 611 Federal and Fed.-Sponsored Credit","County, 3-digit SIC -- by ownership sector","All establishment sizes",0,2,121085,0,0,1164,60542
"06001","1","SIC_0H6111","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 6111 Federal and fed.-sponsored credit","County, 4-digit SIC -- by ownership sector","All establishment sizes",0,2,121085,0,0,1164,60542
"06001","1","SIC_0I","28","0",1998,"A","","Alameda County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",10,63,1170098,0,0,357,18572
"06001","1","SIC_0I70","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 70 Hotels and Other Lodging Places","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,22,248805,0,0,217,11309
"06001","1","SIC_0I704","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 704 Membership-Basis Organization Hotels","County, 3-digit SIC -- by ownership sector","All establishment sizes",2,22,248805,0,0,217,11309
"06001","1","SIC_0I7041","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 7041 Membership-basis organization hotels","County, 4-digit SIC -- by ownership sector","All establishment sizes",2,22,248805,0,0,217,11309
"06001","1","SIC_0I79","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 79 Amusement and Recreation Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,31,321926,0,0,199,10384
"06001","1","SIC_0I799","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 799 Misc. Amusement, Recreation Services","County, 3-digit SIC -- by ownership sector","All establishment sizes",2,31,321926,0,0,199,10384
"06001","1","SIC_0I7999","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 7999 Amusement and recreation, nec","County, 4-digit SIC -- by ownership sector","All establishment sizes",2,31,321926,0,0,199,10384
"06001","1","SIC_0I84","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 84 Museums, Botanical, Zoological Gardens","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1,36358,0,0,699,36358
"06001","1","SIC_0I841","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 841 Museums and Art Galleries","County, 3-digit SIC -- by ownership sector","All establishment sizes",1,1,36358,0,0,699,36358
"06001","1","SIC_0I8412","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 8412 Museums and art galleries","County, 4-digit SIC -- by ownership sector","All establishment sizes",1,1,36358,0,0,699,36358
"06001","1","SIC_0I87","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 87 Engineering and Management Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",4,5,223830,0,0,860,44766
"06001","1","SIC_0I871","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 871 Engineering and Architectural Services","County, 3-digit SIC -- by ownership sector","All establishment sizes",3,3,167663,0,0,1074,55887
"06001","1","SIC_0I8711","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 8711 Engineering services","County, 4-digit SIC -- by ownership sector","All establishment sizes",3,3,167663,0,0,1074,55887
"06001","1","SIC_0I873","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 873 Research and Testing Services","County, 3-digit SIC -- by ownership sector","All establishment sizes",1,1,56167,0,0,1080,56167
"06001","1","SIC_0I8731","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 8731 Commercial physical research","County, 4-digit SIC -- by ownership sector","All establishment sizes",1,1,56167,0,0,1080,56167
"06001","1","SIC_0I89","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,5,339179,0,0,1304,67835
"06001","1","SIC_0I899","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 899 Services, Not elsewhere classified","County, 3-digit SIC -- by ownership sector","All establishment sizes",1,5,339179,0,0,1304,67835
"06001","1","SIC_0I8999","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 8999 Services, Not elsewhere classified","County, 4-digit SIC -- by ownership sector","All establishment sizes",1,5,339179,0,0,1304,67835
"06001","1","SIC_0J","28","0",1998,"A","","Alameda County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",55,5334,291689644,0,0,1051,54684
"06001","1","SIC_0J91","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",5,38,1901450,0,0,962,50038
"06001","1","SIC_0J919","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 919 General Government, NEC","County, 3-digit SIC -- by ownership sector","All establishment sizes",5,38,1901450,0,0,962,50038
"06001","1","SIC_0J9199","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 9199 General government, nec","County, 4-digit SIC -- by ownership sector","All establishment sizes",5,38,1901450,0,0,962,50038
"06001","1","SIC_0J92","29","0",1998,"A","","Alameda County, California","Federal Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",12,647,36327813,0,0,1079,56148
"06001","1","SIC_0J921","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 921 Courts","County, 3-digit SIC -- by ownership sector","All establishment sizes",1,120,5961861,0,0,955,49682
"06001","1","SIC_0J9211","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 9211 Courts","County, 4-digit SIC -- by ownership sector","All establishment sizes",1,120,5961861,0,0,955,49682
"06001","1","SIC_0J922","30","0",1998,"A","","Alameda County, California","Federal Government","SIC 922 Public Order and Safety","County, 3-digit SIC -- by ownership sector","All establishment sizes",11,527,30365952,0,0,1108,57620
"06001","1","SIC_0J9221","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 9221 Police protection","County, 4-digit SIC -- by ownership sector","All establishment sizes",4,131,8695283,0,0,1276,66376
"06001","1","SIC_0J9222","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 9222 Legal counsel and prosecution","County, 4-digit SIC -- by ownership sector","All establishment sizes",3,41,3029789,0,0,1421,73897
"06001","1","SIC_0J9223","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 9223 Correctional institutions","County, 4-digit SIC -- by ownership sector","All establishment sizes",1,343,17995826,0,0,1008,52465
"06001","1","SIC_0J9229","31","0",1998,"A","","Alameda County, California","Federal Government","SIC 9229 Public order and safety, nec","County, 4-digit SIC -- by ownership sector","All establishment sizes",4,12,645054,0,0,1033,53754
